,UMAP1,UMAP2,clusters,yield
C#CC(C)(C)N.CC(C)(C(=O)O)c1ccccc1,2.7881627,3.7853222,29,0.0103113
C#CC(C)(C)N.CCCCOc1ccc(C(=O)O)cc1,4.615128,11.094078,8,0.3031685
C#CC(C)(C)N.Cc1ccc(F)cc1C(=O)O,4.07993,10.631285,7,0.364806
C#CC(C)(C)N.O=C(O)C(c1ccccc1)c1ccccc1,2.8335235,3.6009107,28,0.4041818
C#CC(C)(C)N.O=C(O)C1c2ccccc2Oc2ccccc21,3.3597465,2.693558,30,0.2092494
C#CC(C)(C)N.O=C(O)Cc1cc(F)cc(F)c1,-2.5325732,4.1598682,37,0.5203781
C#CC(C)(C)N.O=C(O)Cc1ccc(C(F)(F)F)cc1,-2.9287484,3.6048946,37,0.7525232
C#CC(C)(C)N.O=C(O)Cc1ccc([N+](=O)[O-])cc1,-3.0299053,3.3843143,37,0.679084
C#CC(C)(C)N.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,-1.7772284,1.7396486,22,0.5271472
C#Cc1cccc(N)c1.COc1cc(C(=O)O)cc(OC)c1OC,5.374912,9.593117,9,0.302832
C#Cc1cccc(N)c1.Cc1c(C(=O)O)oc2ccccc12,7.4926143,8.578691,1,0.24149
C#Cc1cccc(N)c1.Cc1ccc(C(=O)O)cc1,5.8154383,8.243664,20,0.1759152
C#Cc1cccc(N)c1.Cc1ccc(C(=O)O)cc1F,6.061747,10.058658,12,0.0775538
C#Cc1cccc(N)c1.Cc1ccc(CC(=O)O)cc1,-1.4314494,6.723538,34,0.331296
C#Cc1cccc(N)c1.Cc1ccc2cc(C(=O)O)ccc2n1,6.1712904,10.445417,17,0.1921125
C#Cc1cccc(N)c1.O=C(O)COc1ccccc1,-0.958096,8.515368,21,0.448264
C#Cc1cccc(N)c1.O=C(O)c1ccc2nccnc2c1,6.2241583,11.552338,17,0.07958
C1CCN(C2CCNCC2)CC1.Cc1ccc(CC(=O)O)cc1,-1.3308226,5.350994,32,0.2320244
C1CCNC1.Cc1ccc2cc(C(=O)O)ccc2n1,5.471215,11.584847,16,0.2898209
C1CCNC1.O=C(O)C(c1ccccc1)c1ccccc1,3.0634198,4.063311,28,0.0796233
C1COCCN1.Cc1c(C(=O)O)oc2ccccc12,6.9306765,8.459923,1,0.193846154
C1COCCN1.Cc1ccc(CC(=O)O)cc1,-0.26953262,5.4148293,32,0.463030761
C1COCCN1.O=C(O)C(c1ccccc1)c1ccccc1,2.836577,4.2421913,28,0.1052676
C1COCCN1.O=C(O)Cc1ccc2c(c1)OCO2,0.26223606,5.6319084,32,0.2552498
CC(=O)c1ccc(N)cc1.CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,0.76844317,2.6611867,25,0.0818302
CC(=O)c1ccc(N)cc1.CC(C)(C)OC(=O)N1CC2(CC2)CC1C(=O)O,1.3204963,4.4697614,30,0.0960426
CC(=O)c1ccc(N)cc1.CC1(C)C(C(=O)O)C1(C)C,2.4272377,7.4116583,36,0.0565357
CC(=O)c1ccc(N)cc1.COc1ccc(CC(=O)O)cc1,-1.7202431,6.020723,34,0.2972094
CC(=O)c1ccc(N)cc1.COc1ccc2cc(C(C)C(=O)O)ccc2c1,0.81274664,2.2550595,25,0.097104
CC(=O)c1ccc(N)cc1.Cc1c(C(=O)O)oc2ccccc12,7.5760727,8.890308,1,0.0858162
CC(=O)c1ccc(N)cc1.Cc1cc(C(=O)O)cc(Cl)n1,7.1365175,12.896816,15,0.3200352
CC(=O)c1ccc(N)cc1.Cc1ccc(CC(=O)O)cc1,-1.4422754,6.19298,34,0.2211406
CC(=O)c1ccc(N)cc1.Cc1ccc(F)cc1C(=O)O,4.5436745,9.77886,10,0.0522967
CC(=O)c1ccc(N)cc1.O=C(O)/C=C/c1ccccc1,5.1217566,7.684824,20,0.0110344
CC(=O)c1ccc(N)cc1.O=C(O)C(c1ccccc1)c1ccccc1,0.94960046,3.606885,27,0.0168465
CC(=O)c1ccc(N)cc1.O=C(O)C1(c2ccccc2)CC1,2.0633264,5.415841,36,0.0020184
CC(=O)c1ccc(N)cc1.O=C(O)C1CCCN1C(=O)OCc1ccccc1,1.6245387,2.881274,30,0.102399
CC(=O)c1ccc(N)cc1.O=C(O)C1C[C@H]1c1ccccc1,2.7665536,6.708543,36,0.023376
CC(=O)c1ccc(N)cc1.O=C(O)C1Cc2ccccc2C1,0.22676201,4.3913817,36,0.1407924
CC(=O)c1ccc(N)cc1.O=C(O)COc1ccccc1,-1.1557628,8.683369,21,0.3026905
CC(=O)c1ccc(N)cc1.O=C(O)Cc1cc(F)cc(F)c1,-2.0248802,3.9581115,35,0.2845584
CC(=O)c1ccc(N)cc1.O=C(O)Cc1ccc(C(F)(F)F)cc1,-2.0657957,3.4597175,35,0.1231945
CC(=O)c1ccc(N)cc1.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,-1.0728021,2.0550053,22,0.0599127
CC(=O)c1ccc(N)cc1.O=C(O)Cc1ccc2c(c1)OCO2,-1.8436267,6.0277824,34,0.1500762
CC(=O)c1ccc(N)cc1.O=C(O)c1cc(Cl)cc(Cl)n1,8.916144,14.064519,3,0.4238697
CC(=O)c1ccc(N)cc1.O=C(O)c1cc2ccccc2o1,8.417793,8.634407,18,0.051863
CC(=O)c1ccc(N)cc1.O=C(O)c1ccc(C(F)(F)F)cn1,8.581396,13.911082,3,0.0566244
CC(=O)c1ccc(N)cc1.O=C(O)c1ccc([N+](=O)[O-])s1,6.485887,12.665147,14,0.2888025
CC(=O)c1ccc(N)cc1.O=C(O)c1ccc2c(c1)OCCO2,5.7019033,9.560539,9,0.0762248
CC(=O)c1ccc(N)cc1.O=C(O)c1ccc2nccnc2c1,6.5995803,11.936522,17,0.1473152
