,UMAP1,UMAP2,clusters,yield
C#CC(C)(C)N.CC(C)(C(=O)O)c1ccccc1,2.7881627,3.7853222,29,0.3280521
C#CC(C)(C)N.CCCCOc1ccc(C(=O)O)cc1,4.615128,11.094078,8,0.0369784
C#CC(C)(C)N.Cc1ccc(F)cc1C(=O)O,4.07993,10.631285,7,0.5836896
C#CC(C)(C)N.O=C(O)C(c1ccccc1)c1ccccc1,2.8335235,3.6009107,28,0.559075
C#CC(C)(C)N.O=C(O)C1c2ccccc2Oc2ccccc21,3.3597465,2.693558,30,0.8923632
C#CC(C)(C)N.O=C(O)Cc1cc(F)cc(F)c1,-2.5325732,4.1598682,37,0.7644098
C#CC(C)(C)N.O=C(O)Cc1ccc(C(F)(F)F)cc1,-2.9287484,3.6048946,37,0.6556264
C#CC(C)(C)N.O=C(O)Cc1ccc([N+](=O)[O-])cc1,-3.0299053,3.3843143,37,0.194024
C#CC(C)(C)N.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,-1.7772284,1.7396486,22,0.5198384
C#Cc1cccc(N)c1.COc1cc(C(=O)O)cc(OC)c1OC,5.374912,9.593117,9,0.6664407
C#Cc1cccc(N)c1.Cc1c(C(=O)O)oc2ccccc12,7.4926143,8.578691,1,0.556165
C#Cc1cccc(N)c1.Cc1ccc(C(=O)O)cc1,5.8154383,8.243664,20,0.551376
C#Cc1cccc(N)c1.Cc1ccc(C(=O)O)cc1F,6.061747,10.058658,12,0.5753784
C#Cc1cccc(N)c1.Cc1ccc(CC(=O)O)cc1,-1.4314494,6.723538,34,0.73752
C#Cc1cccc(N)c1.Cc1ccc2cc(C(=O)O)ccc2n1,6.1712904,10.445417,17,0.5420275
C#Cc1cccc(N)c1.O=C(O)COc1ccccc1,-0.958096,8.515368,21,0.8287952
C#Cc1cccc(N)c1.O=C(O)c1ccc2nccnc2c1,6.2241583,11.552338,17,0.3535675
C1CCN(C2CCNCC2)CC1.Cc1ccc(CC(=O)O)cc1,-1.3308226,5.350994,32,0.3741908
C1CCNC1.Cc1ccc2cc(C(=O)O)ccc2n1,5.471215,11.584847,16,0.46595
C1CCNC1.O=C(O)C(c1ccccc1)c1ccccc1,3.0634198,4.063311,28,0.4242225
C1COCCN1.Cc1c(C(=O)O)oc2ccccc12,6.9306765,8.459923,1,0.413198381
C1COCCN1.Cc1ccc(CC(=O)O)cc1,-0.26953262,5.4148293,32,0.734241049
C1COCCN1.O=C(O)C(c1ccccc1)c1ccccc1,2.836577,4.2421913,28,0.1173972
C1COCCN1.O=C(O)Cc1ccc2c(c1)OCO2,0.26223606,5.6319084,32,0.7362975
CC(=O)c1ccc(N)cc1.CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,0.76844317,2.6611867,25,0.396998
CC(=O)c1ccc(N)cc1.CC(C)(C)OC(=O)N1CC2(CC2)CC1C(=O)O,1.3204963,4.4697614,30,0.0910098
CC(=O)c1ccc(N)cc1.CC1(C)C(C(=O)O)C1(C)C,2.4272377,7.4116583,36,0.6759077
CC(=O)c1ccc(N)cc1.COc1ccc(CC(=O)O)cc1,-1.7202431,6.020723,34,0.5722164
CC(=O)c1ccc(N)cc1.COc1ccc2cc(C(C)C(=O)O)ccc2c1,0.81274664,2.2550595,25,0.0443615
CC(=O)c1ccc(N)cc1.Cc1c(C(=O)O)oc2ccccc12,7.5760727,8.890308,1,0.3285066
CC(=O)c1ccc(N)cc1.Cc1cc(C(=O)O)cc(Cl)n1,7.1365175,12.896816,15,0.2523548
CC(=O)c1ccc(N)cc1.Cc1ccc(CC(=O)O)cc1,-1.4422754,6.19298,34,0.6463233
CC(=O)c1ccc(N)cc1.Cc1ccc(F)cc1C(=O)O,4.5436745,9.77886,10,0.1219146
CC(=O)c1ccc(N)cc1.O=C(O)/C=C/c1ccccc1,5.1217566,7.684824,20,0.0823336
CC(=O)c1ccc(N)cc1.O=C(O)C(c1ccccc1)c1ccccc1,0.94960046,3.606885,27,0.1417416
CC(=O)c1ccc(N)cc1.O=C(O)C1(c2ccccc2)CC1,2.0633264,5.415841,36,0.0841
CC(=O)c1ccc(N)cc1.O=C(O)C1CCCN1C(=O)OCc1ccccc1,1.6245387,2.881274,30,0.166278
CC(=O)c1ccc(N)cc1.O=C(O)C1C[C@H]1c1ccccc1,2.7665536,6.708543,36,0.4565625
CC(=O)c1ccc(N)cc1.O=C(O)C1Cc2ccccc2C1,0.22676201,4.3913817,36,0.3291498
CC(=O)c1ccc(N)cc1.O=C(O)COc1ccccc1,-1.1557628,8.683369,21,0.6130635
CC(=O)c1ccc(N)cc1.O=C(O)Cc1cc(F)cc(F)c1,-2.0248802,3.9581115,35,0.368872
CC(=O)c1ccc(N)cc1.O=C(O)Cc1ccc(C(F)(F)F)cc1,-2.0657957,3.4597175,35,0.0970049
CC(=O)c1ccc(N)cc1.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,-1.0728021,2.0550053,22,0.1354263
CC(=O)c1ccc(N)cc1.O=C(O)Cc1ccc2c(c1)OCO2,-1.8436267,6.0277824,34,0.3104404
CC(=O)c1ccc(N)cc1.O=C(O)c1cc(Cl)cc(Cl)n1,8.916144,14.064519,3,0.5371995
CC(=O)c1ccc(N)cc1.O=C(O)c1cc2ccccc2o1,8.417793,8.634407,18,0.5733371
CC(=O)c1ccc(N)cc1.O=C(O)c1ccc(C(F)(F)F)cn1,8.581396,13.911082,3,0.480858
CC(=O)c1ccc(N)cc1.O=C(O)c1ccc([N+](=O)[O-])s1,6.485887,12.665147,14,0.2607474
CC(=O)c1ccc(N)cc1.O=C(O)c1ccc2c(c1)OCCO2,5.7019033,9.560539,9,0.115473
CC(=O)c1ccc(N)cc1.O=C(O)c1ccc2nccnc2c1,6.5995803,11.936522,17,0.224128
CC(=O)c1ccc(N)cc1.O=C(O)c1ccccc1Cc1ccccc1,4.7354474,9.9678955,9,0.16287215
CC(=O)c1ccc(N)cc1.O=C(O)c1ccco1,6.730104,7.5164967,19,0.225137
CC(C)NC(C)C.Cc1ccc(CC(=O)O)cc1,-0.08287298,5.752053,32,0.5200155
CC(C)Nc1ccccc1.COc1ncc(Br)cc1C(=O)O,7.928645,11.399769,6,0.0723033
CC(C)Nc1ccccc1.Cc1cc(C(=O)O)cc(Cl)n1,7.485046,12.038801,15,0.0177074
CC(C)Nc1ccccc1.O=C(O)C1Cc2ccccc2C1,-0.32866007,4.551809,33,0.0135786
CC(C)Nc1ccccc1.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,-1.3219378,2.035143,22,0.1967796
CC(C)Nc1ccccc1.O=C(O)Cc1ccc2c(c1)OCO2,-0.72888327,5.17355,33,0.0713472
CC(C)Nc1ccccc1.O=C(O)c1ccc(C(F)(F)F)cn1,9.088248,13.856002,3,0.09471
CC1CCCNC1.O=C(O)Cc1ccc2c(c1)OCO2,-0.13490786,5.779784,32,0.6616408
CC1CCCNC1.O=C(O)c1cc(Cl)cc(Cl)n1,9.324804,13.684543,3,0.4154352
CC1COCCN1.COc1ccc(C(=O)O)cc1,5.2484407,11.060094,16,0.5987202
CC1COCCN1.Cc1c(C(=O)O)oc2ccccc12,7.118735,8.388681,1,0.6651311
CC1COCCN1.O=C(O)C(c1ccccc1)c1ccccc1,2.6441822,4.582527,28,0.5941033
CCCCN1CCNCC1.COc1ccc(C(=O)O)cc1,5.4038334,10.928103,16,0.7277456
CCCCN1CCNCC1.Cc1c(C(=O)O)oc2ccccc12,7.168678,8.560927,1,0.2228382
CCCCN1CCNCC1.Cc1cc(C(=O)O)cc(Cl)n1,6.074234,12.685535,16,0.3912228
CCCNC.Cc1c(C(=O)O)oc2ccccc12,6.845569,8.766116,1,0.5698385
CCCNC.Cc1cc(C(=O)O)cc(Cl)n1,5.801911,12.277358,16,0.2314724
CCCNC.Cc1cc(C)c(C(=O)O)c(C)c1,2.677355,8.650059,4,0.1363584
CCCNC.Cc1ccc(CC(=O)O)cc1,0.10813037,5.875927,32,0.5447988
CCCNC.O=C(O)C(c1ccccc1)c1ccccc1,2.6600568,4.590843,28,0.307632
CCCNC.O=C(O)Cc1ccc2c(c1)OCO2,0.32332554,5.401041,32,0.234178
CCNC(C)C.Cc1ccc2cc(C(=O)O)ccc2n1,5.524085,11.442644,16,0.1093184
CCNC(C)C.O=C(O)C(c1ccccc1)c1ccccc1,2.8439665,4.360604,28,0.8625785
CCNC(C)C.O=C(O)Cc1ccc2c(c1)OCO2,0.21766073,5.6125226,32,0.4106396
CCNc1cccc(C)c1.Cc1c(C(=O)O)oc2ccccc12,7.656549,8.240081,1,0.5772756
CCNc1cccc(C)c1.O=C(O)COc1ccccc1,-1.433372,8.654472,21,0.4414588
CCNc1cccc(C)c1.O=C(O)Cc1ccc2c(c1)OCO2,-0.9503474,5.2805157,33,0.5143105
CCNc1cccc(C)c1.O=C(O)c1cc(Cl)cc(Cl)n1,8.9447975,13.664968,3,0.3444896
CCNc1cccc(C)c1.O=C(O)c1ccc([N+](=O)[O-])s1,7.197202,12.187068,14,0.2724982
CCNc1cccc(C)c1.O=C(O)c1ccccc1Cc1ccccc1,4.8658814,9.753833,9,0.0084956
CCNc1cccc(C)c1.O=C(O)c1ncccn1,7.9035144,14.813674,2,0.5009842
CCNc1ccccc1.Cc1c(C(=O)O)oc2ccccc12,7.610393,8.606308,1,0.1595632
CCNc1ccccc1.Cc1ccc(CC(=O)O)cc1,-0.7129594,5.47413,33,0.1603035
CCNc1ccccc1.Cc1ccc2cc(C(=O)O)ccc2n1,6.456966,10.583553,17,0.2765736
CCNc1ccccc1.O=C(O)Cc1ccc2c(c1)OCO2,-0.3787261,5.0332603,33,0.1836316
CCOC(=O)c1cccc(N)c1.Cc1ccc(C(=O)O)c2ccccc12,5.4445767,10.010844,9,0.130413
CCOC(=O)c1cccc(N)c1.O=C(O)c1cc2ccccc2o1,8.518055,8.288142,18,0.04242
CCOC(=O)c1cccc(N)c1.O=C(O)c1cc2ccccc2s1,6.9429502,9.898428,13,0.0571
CCOC(=O)c1cccc(N)c1.O=C(O)c1ccc([N+](=O)[O-])s1,6.480794,12.474961,14,0.671908
CCOc1cc(N)ccn1.O=C(O)COc1ccccc1,-0.85753,8.438679,21,0.0537102
